wave,flux
3869.991400721875,0.0
3870.001986023561,0.0
3870.0125713542047,0.0
3870.023156713797,0.0
3870.0337421023432,0.0
3870.0443275198427,0.0
3870.0549129662995,0.0
3870.065498441706,0.0
3870.0760839460663,0.0
3870.0866694793845,0.0
3870.0972550416523,0.0
3870.107840632874,0.0
3870.1184262530496,0.0
3870.1290119021833,0.0
3870.139597580267,0.0
3870.1501832873055,0.0
3870.1607690232977,0.0
3870.1713547882487,0.0
3870.1819405821498,0.0
3870.1925264050055,0.0
3870.20311225682,0.0
3870.213698137585,0.0
3870.224284047305,0.0
3870.23486998598,0.0
3870.2454559536136,0.0
3870.2560419501983,0.0
3870.266627975738,0.0
3870.2772140302372,0.0
3870.2878001136874,0.0
3870.298386226093,0.0
3870.308972367454,0.0
3870.3195585377744,0.0
3870.3301447370463,0.0
3870.340730965274,0.0
3870.3513172224575,0.0
3870.361903508601,0.0
3870.372489823696,0.0
3870.383076167747,0.0
3870.393662540758,0.0
3870.404248942721,0.0
3870.414835373641,0.0
3870.4254218335163,0.0
3870.4360083223523,0.0
3870.446594840141,0.0
3870.457181386886,0.0
3870.4677679625916,0.0
3870.4783545672503,0.0
3870.488941200865,0.0
3870.4995278634374,0.0
3870.51011455497,0.0
3870.520701275456,0.0
3870.531288024899,0.0
3870.541874803299,0.0
3870.55246161066,0.0
3870.563048446975,0.0
3870.5736353122466,0.0
3870.5842222064803,0.0
3870.5948091296673,0.0
3870.6053960818117,0.0
3870.6159830629144,0.0
3870.626570072978,0.0
3870.6371571119967,0.0
3870.6477441799725,0.0
3870.6583312769103,0.0
3870.6689184028023,0.0
3870.6795055576526,0.0
3870.6900927414613,0.0
3870.7006799542323,0.0
3870.7112671959576,0.0
3870.721854466641,0.0
3870.7324417662835,0.0
3870.7430290948887,0.0
3870.7536164524486,0.0
3870.764203838967,0.0
3870.7747912544487,0.0
3870.785378698885,0.0
3870.7959661722807,0.0
3870.8065536746353,0.0
3870.8171412059532,0.0
3870.8277287662263,0.0
3870.838316355459,0.0
3870.8489039736546,0.0
3870.8594916208062,0.0
3870.8700792969175,0.0
3870.8806670019885,0.0
3870.891254736023,0.0
3870.901842499013,0.0
3870.9124302909636,0.0
3870.923018111874,0.0
3870.9336059617485,0.0
3870.944193840579,0.0
3870.95478174837,0.0
3870.965369685125,0.0
3870.975957650837,0.0
3870.9865456455086,0.0
3870.9971336691415,0.0
3871.0077217217386,0.0
3871.0183098032926,0.0
3871.028897913807,0.0
3871.039486053287,0.0
3871.0500742217237,0.0
3871.0606624191214,0.0
3871.07125064548,0.0
3871.081838900804,0.0
3871.0924271850854,0.0
3871.1030154983277,0.0
3871.113603840532,0.0
3871.1241922117015,0.0
3871.1347806118283,0.0
3871.145369040917,0.0
3871.155957498972,0.0
3871.166545985984,0.0
3871.1771345019583,0.0
3871.1877230468945,0.0
3871.198311620797,0.0
3871.2089002236576,0.0
3871.21948885548,0.0
3871.230077516269,0.0
3871.2406662060166,0.0
3871.2512549247263,0.0
3871.2618436723988,0.0
3871.2724324490378,0.0
